F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
23,-3,65,29,-15,41,57,2,39,31,49,-4,13,3
32,6,60,20,-7,36,59,-4,45,34,41,-2,27,-2
16,-7,54,-5,-22,25,51,-26,51,6,28,-6,23,-25
18,-19,63,0,-9,23,58,-23,59,-5,30,-1,24,-24
18,-19,63,0,-9,23,58,-23,59,-5,30,-1,24,-24
30,0,56,15,3,30,69,-2,49,17,42,11,26,-10
33,18,44,39,1,55,80,19,38,42,64,24,23,1
33,34,50,66,5,76,94,29,48,51,78,30,20,9
25,27,56,53,-1,57,100,12,45,36,61,14,20,-2
5,-6,54,24,-31,33,95,-7,14,11,38,-6,20,-32
-8,-10,56,19,-46,37,96,1,-4,6,40,-3,22,-40
-7,-7,64,18,-37,41,93,11,19,11,47,14,29,-29
-7,-7,64,18,-37,41,93,11,19,11,47,14,29,-29
-4,-10,64,5,-33,24,71,5,34,2,34,16,23,-34
-7,-13,50,-4,-35,16,47,-2,23,-12,21,0,7,-45
-7,-10,40,9,-19,29,48,-5,29,-6,27,-1,9,-39
12,17,40,25,-4,37,56,-2,43,20,32,15,25,-23
31,26,36,20,-12,33,60,-1,43,27,30,15,21,-8
36,22,35,7,-11,30,76,3,50,18,33,3,13,2
29,20,39,-1,0,19,93,-5,56,15,31,-2,23,-6
29,20,39,-1,0,19,93,-5,56,15,31,-2,23,-6
10,-10,42,-13,-14,-4,97,-22,42,0,18,-3,18,-26
-9,-23,39,-18,-25,1,96,-25,38,-15,14,-10,4,-39
-1,-13,35,-5,-9,25,97,-20,50,-4,23,-23,8,-32
21,6,42,11,2,31,99,-15,58,26,26,-23,18,-14
30,28,44,27,2,45,80,-6,55,43,31,-7,20,1
30,28,44,27,2,45,80,-6,55,43,31,-7,20,1
29,23,37,34,-2,60,41,0,43,39,36,-1,15,5
24,20,36,25,-9,42,19,-8,36,36,24,-6,24,-4
27,35,49,30,-3,35,27,-6,54,39,22,1,32,1
41,46,60,40,5,61,39,9,68,42,31,12,33,18
33,32,51,28,1,56,39,-4,56,34,13,-1,32,7
10,2,42,23,2,36,44,-28,56,21,-7,-19,17,-13
4,6,48,33,7,48,65,-20,64,24,-5,-14,-1,-5
4,6,48,33,7,48,65,-20,64,24,-5,-14,-1,-5
8,9,53,19,6,51,81,-8,54,26,-14,-4,-10,-6
0,-11,45,-1,-4,30,61,-19,46,12,-32,-9,-8,-29
1,0,50,8,-21,30,25,-15,46,7,-27,-13,-1,-38
17,24,67,36,-28,65,21,16,39,23,-9,7,0,-26
24,39,66,59,-28,84,27,34,26,40,2,34,5,-15
27,45,59,60,-37,71,26,29,31,46,-3,33,17,-7
32,45,66,41,-43,53,40,15,34,44,-22,17,17,-6
32,45,66,41,-43,53,40,15,34,44,-22,17,17,-6
30,48,70,27,-50,39,60,4,20,33,-34,9,7,-20
28,37,73,33,-53,35,77,9,25,24,-33,13,8,-21
27,36,73,32,-38,41,95,19,42,34,-33,19,10,-6
28,47,67,28,-25,51,90,26,41,40,-28,22,-1,2
28,47,67,28,-25,51,90,26,41,40,-28,22,-1,2
29,40,57,30,-31,51,57,18,29,37,-27,13,-19,0
23,35,51,24,-32,33,26,2,28,35,-44,-3,-32,-7
9,24,59,24,-27,32,26,5,36,28,-43,2,-24,-16
-4,10,59,30,-31,44,43,19,32,12,-29,16,-8,-30
-11,2,55,23,-37,39,57,30,22,5,-39,23,-1,-42
0,9,76,22,-26,35,82,39,27,24,-42,33,17,-30
12,39,96,29,-18,43,105,41,34,35,-38,34,35,-6
12,39,96,29,-18,43,105,41,34,35,-38,34,35,-6
6,36,87,27,-23,39,106,34,30,25,-55,29,28,0
7,25,75,34,-24,43,89,34,29,23,-53,29,18,-8
16,39,76,48,-19,68,63,37,28,38,-37,34,14,-7
20,46,66,54,-15,68,38,33,29,42,-42,30,1,2
27,58,54,55,-7,59,27,29,46,45,-43,28,-5,8
34,48,60,45,6,64,32,31,52,48,-36,29,1,11
27,17,63,28,0,48,41,25,38,39,-55,13,-1,2
14,13,60,13,-21,25,52,7,25,29,-79,-6,0,-15
14,13,60,13,-21,25,52,7,25,29,-79,-6,0,-15
13,16,65,9,-32,26,66,-3,19,20,-74,-3,3,-18
17,28,61,19,-34,27,82,10,17,18,-68,17,4,-9
24,34,62,30,-30,31,94,31,27,25,-59,31,18,-2
30,31,85,27,-27,48,96,39,39,26,-39,32,35,2
23,34,88,27,-25,48,97,35,26,23,-38,28,32,-3
14,29,67,36,-33,34,89,33,11,26,-54,30,21,-12
14,29,67,36,-33,34,89,33,11,26,-54,30,21,-12
9,40,58,34,-54,37,51,35,5,31,-50,35,22,-18
6,46,61,33,-68,51,20,38,-8,26,-28,35,26,-20
-3,33,60,36,-68,56,30,39,-17,20,-20,21,11,-29
-16,26,63,24,-68,48,56,28,-12,20,-33,-2,4,-39
-13,14,67,14,-66,34,75,18,-2,17,-49,-9,16,-33
0,17,63,24,-51,28,88,19,8,10,-50,0,18,-24
0,17,63,24,-51,28,88,19,8,10,-50,0,18,-24
2,25,59,27,-32,35,94,25,19,13,-39,4,6,-23
-3,19,66,22,-15,45,100,28,29,21,-29,-3,-6,-14
10,26,72,36,-4,57,98,30,28,36,-19,-10,-21,1
29,31,71,49,3,66,75,27,25,48,-10,-9,-37,8
24,28,81,39,-1,65,51,26,22,41,-15,-8,-43,9
24,28,81,39,-1,65,51,26,22,41,-15,-8,-43,9
3,16,92,26,-5,58,51,31,15,36,-27,-8,-51,4
-6,4,92,35,9,58,64,33,14,51,-25,-7,-66,-1
12,28,90,46,20,68,74,31,14,70,-15,-3,-63,7
23,34,80,45,12,61,74,33,8,62,-19,-2,-66,16
9,13,68,33,7,36,75,30,6,46,-34,-5,-88,5
0,6,82,31,24,40,93,31,22,49,-26,-3,-84,2
4,5,97,40,38,64,112,38,33,60,-3,2,-65,16
4,5,97,40,38,64,112,38,33,60,-3,2,-65,16
10,8,86,34,32,59,92,36,24,59,-1,2,-69,23
27,9,85,27,32,46,58,31,29,55,-10,1,-74,28
33,8,94,30,36,51,42,31,41,56,-20,2,-61,29
7,6,90,31,24,52,33,29,23,51,-25,0,-48,12
-3,5,89,42,7,54,39,32,3,46,-14,3,-39,5
20,24,91,57,-2,62,51,38,7,66,0,5,-40,21
34,32,88,64,-2,65,63,37,12,80,5,3,-57,35
34,32,88,64,-2,65,63,37,12,80,5,3,-57,35
21,20,87,56,2,64,74,34,0,66,7,4,-53,24
