F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
6,-10,1,-5,-6,-5,21,70,41,35,47,45,41,38
7,-11,-3,0,-14,1,17,63,48,41,40,32,40,39
25,6,-2,-1,-10,2,24,54,53,50,37,26,30,54
25,6,-2,-1,-10,2,24,54,53,50,37,26,30,54
34,13,6,0,6,2,31,52,63,59,36,26,28,64
31,14,3,11,16,9,33,54,74,68,39,27,33,62
25,12,-4,17,18,16,35,58,73,63,42,31,28,65
22,6,-4,17,7,18,33,63,56,53,40,31,22,62
23,20,-1,22,-6,23,27,63,52,67,38,25,26,57
35,28,-3,36,4,34,30,60,67,87,48,25,25,63
29,29,-7,37,21,34,33,62,65,81,50,25,22,65
29,29,-7,37,21,34,33,62,65,81,50,25,22,65
8,13,-5,20,21,22,31,62,56,60,38,13,27,54
7,-9,2,12,16,16,32,55,66,57,31,1,25,49
18,3,0,19,17,17,27,50,74,63,25,1,21,55
34,29,5,36,37,34,34,58,78,79,35,22,38,72
46,51,11,51,48,50,51,65,90,96,58,48,59,83
34,48,-5,48,34,45,40,67,79,93,61,51,60,71
12,19,-16,34,22,33,21,67,54,73,51,38,41,55
12,19,-16,34,22,33,21,67,54,73,51,38,41,55
14,17,-2,26,25,27,28,62,69,68,51,28,33,54
35,30,7,37,33,38,36,60,97,75,63,33,50,61
37,37,2,37,40,39,30,63,90,74,63,33,49,62
25,35,-5,27,43,25,25,59,78,71,49,22,38,55
22,27,1,37,34,35,28,57,85,71,44,34,49,48
41,54,20,57,32,62,41,66,96,84,58,61,71,55
70,77,26,61,65,65,56,70,110,97,67,62,67,83
71,71,9,66,90,57,62,61,122,105,66,46,51,97
71,71,9,66,90,57,62,61,122,105,66,46,51,97
45,58,-2,64,77,59,53,63,117,98,62,41,52,77
28,32,7,43,53,41,40,59,101,63,46,33,46,52
31,32,15,37,53,27,36,39,91,56,35,24,36,54
35,44,12,46,62,38,41,32,90,78,41,30,42,63
32,38,15,44,58,37,47,47,98,83,36,30,55,54
33,34,23,40,61,30,62,54,103,70,29,27,64,53
33,25,29,40,70,34,65,45,101,67,35,30,59,60
33,25,29,40,70,34,65,45,101,67,35,30,59,60
25,23,17,28,62,20,41,35,94,64,35,34,49,43
25,28,3,6,56,-5,26,32,92,53,17,41,48,26
32,43,12,10,64,2,37,45,98,57,17,56,60,49
33,63,28,38,68,30,45,61,103,66,45,65,66,69
35,50,37,59,68,38,42,66,98,58,66,60,62,50
41,48,23,58,58,32,24,73,85,55,62,65,65,34
41,62,6,47,39,36,3,76,86,58,62,64,67,41
41,62,6,47,39,36,3,76,86,58,62,64,67,41
41,61,16,36,39,36,-3,66,97,57,67,42,66,49
48,65,23,37,54,28,0,53,91,66,53,30,64,54
61,72,13,56,66,41,15,58,95,87,52,46,62,69
70,92,17,62,75,56,25,64,112,92,64,65,66,81
64,85,20,38,71,35,10,46,108,69,47,51,64,72
44,49,8,18,62,17,-1,24,98,50,19,25,55,58
44,49,8,18,62,17,-1,24,98,50,19,25,55,58
28,49,18,23,66,28,11,35,101,57,17,32,61,47
33,58,38,38,63,35,11,65,98,64,38,65,86,40
36,54,36,35,39,28,-5,71,88,46,52,76,87,33
19,45,22,18,24,18,-4,60,76,27,46,49,64,24
10,36,8,14,28,17,-4,52,67,32,35,31,57,20
24,54,-5,26,36,28,-24,43,66,57,32,29,59,26
32,66,-6,38,37,40,-32,35,78,61,35,30,52,37
32,66,-6,38,37,40,-32,35,78,61,35,30,52,37
29,58,-2,27,28,27,-19,32,83,42,31,28,45,34
22,45,-1,5,32,5,-13,35,80,28,25,26,48,20
12,31,7,-1,41,2,-13,52,82,29,29,37,54,15
10,34,20,-1,26,3,-2,56,84,30,23,33,56,23
27,30,27,-5,34,-5,7,36,96,22,8,9,49,29
33,23,19,-2,60,-3,6,26,103,20,4,7,44,30
23,24,6,-5,47,4,-2,33,92,24,6,13,53,20
23,24,6,-5,47,4,-2,33,92,24,6,13,53,20
21,19,4,-14,22,-4,2,33,85,22,0,11,56,7
26,37,10,-11,25,-9,18,30,88,27,-5,9,55,14
28,44,16,2,34,10,28,30,92,35,1,6,56,32
31,43,27,20,45,31,26,33,99,43,15,0,57,33
35,61,23,30,55,36,19,33,102,54,26,1,53,32
35,58,6,28,52,37,18,34,98,52,32,7,43,35
26,51,7,29,52,39,21,43,105,45,37,13,45,32
26,51,7,29,52,39,21,43,105,45,37,13,45,32
11,44,26,22,51,32,26,43,105,38,39,18,57,21
3,31,34,14,32,23,32,31,90,33,31,17,62,11
2,38,30,15,24,27,22,29,88,35,28,12,59,15
5,42,33,12,36,33,11,30,98,35,32,15,57,23
9,40,44,9,46,27,20,26,94,32,26,24,52,21
15,42,58,25,53,31,32,45,90,38,30,36,41,24
23,44,70,37,54,50,25,69,106,54,53,39,32,42
23,44,70,37,54,50,25,69,106,54,53,39,32,42
34,49,71,35,57,59,23,66,117,59,66,36,32,53
41,45,73,41,59,57,34,66,119,57,62,38,27,56
31,40,77,37,43,51,35,60,109,61,49,32,8,49
25,34,74,24,28,37,31,39,90,58,34,28,-4,38
41,36,70,28,31,32,27,46,98,60,39,36,-3,36
38,45,64,34,30,38,20,59,115,67,51,39,-1,26
38,45,64,34,30,38,20,59,115,67,51,39,-1,26
18,25,63,16,23,33,22,36,102,57,43,22,-9,11
11,15,69,0,27,20,27,22,84,42,24,10,-19,1
11,19,80,10,26,19,26,30,87,42,23,16,-15,-4
15,18,85,32,28,35,26,41,100,55,45,36,-2,9
32,39,87,42,42,57,32,56,114,73,66,55,11,30
37,37,96,39,44,59,39,54,114,76,62,49,12,28
24,22,87,28,28,35,34,29,95,62,38,25,3,12
24,22,87,28,28,35,34,29,95,62,38,25,3,12
25,35,64,23,23,24,22,23,87,54,23,14,-5,19
43,41,59,34,33,42,20,34,101,59,40,22,-14,32
37,42,60,51,34,59,26,33,102,72,57,26,-18,28
29,40,68,58,32,61,33,32,103,80,55,28,-8,27
42,30,77,42,31,50,39,32,113,67,47,30,5,26
48,19,72,16,29,26,22,24,106,49,34,26,6,14
37,9,68,20,29,24,2,24,101,51,30,22,1,12
31,23,71,41,27,48,5,29,101,63,42,22,1,15
31,28,72,43,24,51,10,30,101,63,44,31,11,16
31,28,72,43,24,51,10,30,101,63,44,31,11,16
33,24,75,31,28,32,4,34,105,53,37,38,20,23
30,24,75,29,19,30,1,27,95,52,30,22,7,18
22,6,67,34,4,37,2,9,78,50,22,-3,-7,6
20,3,61,27,5,30,-1,12,78,39,12,-5,-1,10
27,9,60,14,10,13,-11,21,80,34,7,8,3,15
30,12,59,16,1,13,-25,6,64,38,12,5,0,3
20,15,63,19,-3,20,-31,-4,61,36,17,-6,3,-1
20,15,63,19,-3,20,-31,-4,61,36,17,-6,3,-1
4,-9,57,8,1,9,-31,3,63,22,10,-3,4,2
-1,-15,34,-10,-1,-4,-39,0,50,17,-5,-4,0,-2
13,9,27,1,2,15,-36,-1,56,28,-6,-11,6,3
24,18,31,27,6,36,-30,12,69,38,2,3,18,8
22,15,33,27,2,27,-30,20,61,34,9,28,25,4
26,16,48,26,11,29,-18,27,59,42,24,34,29,14
33,41,66,49,29,50,-1,38,74,68,35,33,34,32
33,41,66,49,29,50,-1,38,74,68,35,33,34,32
35,50,53,53,28,46,3,34,73,64,35,32,32,27
30,25,32,37,16,29,-5,26,64,44,31,22,24,11
26,32,43,47,21,41,-8,42,69,69,41,39,33,20
38,47,65,68,37,65,-2,61,80,95,60,64,47,40
49,43,62,57,35,63,-2,59,77,79,62,47,40,36
38,36,49,42,26,55,-3,59,66,69,58,33,28,21
30,38,55,48,29,58,0,65,66,79,60,57,27,18
30,38,55,48,29,58,0,65,66,79,60,57,27,18
44,51,64,61,31,60,1,67,66,79,63,67,40,17
53,47,56,64,27,58,-3,67,63,67,59,45,49,16
53,45,43,54,23,55,-4,53,69,65,47,33,43,23
58,55,34,50,24,52,-5,34,82,70,42,29,30,32
66,54,37,61,28,54,-2,51,77,70,52,31,29,35
58,52,33,62,20,49,-2,63,62,72,49,34,24,26
43,30,17,45,2,32,-14,29,58,62,31,18,7,8
43,30,17,45,2,32,-14,29,58,62,31,18,7,8
33,14,19,29,-4,22,-20,11,58,44,27,10,15,-4
31,24,23,28,-5,27,-20,27,47,46,21,23,38,0
35,29,11,32,-5,30,-28,31,39,52,14,30,33,2
34,35,3,28,-11,23,-28,27,38,41,22,31,32,0
28,33,11,25,-21,16,-9,29,38,37,23,34,52,-3
34,35,10,28,-19,23,4,27,44,56,12,29,51,-1
49,58,-1,41,-5,34,1,29,54,66,21,24,34,11
47,64,4,60,8,38,-1,35,59,60,42,27,29,22
47,64,4,60,8,38,-1,35,59,60,42,27,29,22
32,46,18,50,10,33,-1,29,58,56,37,24,34,14
27,22,19,29,13,31,1,25,59,53,25,22,46,5
35,29,6,38,23,37,0,33,60,60,31,35,52,16
39,58,0,45,25,36,-2,39,57,67,36,41,50,24
40,51,3,40,12,35,-5,51,61,60,44,53,54,13
39,49,0,54,-5,52,-10,71,52,63,63,65,63,2
39,49,0,54,-5,52,-10,71,52,63,63,65,63,2
33,63,-10,69,-10,65,-5,63,35,72,62,48,60,0
36,61,-21,63,6,58,11,39,43,75,39,30,51,12
46,63,-29,46,23,38,11,29,55,68,21,27,40,21
34,44,-30,23,14,12,-3,16,44,48,7,13,24,9
4,13,-29,-5,-9,-6,-3,-2,29,28,-9,-3,27,-18
-6,3,-25,-10,-8,-3,7,6,28,22,-10,-2,45,-19
14,21,-23,10,8,10,7,30,31,30,-1,6,51,3
14,21,-23,10,8,10,7,30,31,30,-1,6,51,3
27,51,-24,25,14,23,0,29,30,45,8,15,48,10
33,51,-14,29,21,26,5,25,33,55,20,30,58,7
38,57,0,39,21,29,13,50,39,60,26,36,78,11
30,69,-4,52,12,43,8,61,37,63,34,39,79,14
12,48,-23,44,5,41,0,35,25,53,33,35,55,1
-2,30,-42,25,-4,20,0,15,21,31,6,21,43,-15
-2,22,-30,23,0,18,7,30,33,21,-4,25,55,-11
-2,22,-30,23,0,18,7,30,33,21,-4,25,55,-11
9,31,-10,28,12,30,8,38,36,31,20,36,63,-2
18,44,-17,34,11,37,8,31,32,43,37,35,64,-7
14,37,-27,37,-2,35,8,30,32,32,31,24,66,-14
12,41,-17,30,-11,27,2,24,27,22,18,11,61,-17
24,49,-2,29,0,30,11,24,28,39,27,19,71,-8
35,58,7,44,16,42,37,47,35,53,49,51,92,8
22,58,-1,36,3,28,32,58,25,39,48,54,81,2
22,58,-1,36,3,28,32,58,25,39,48,54,81,2
1,30,-19,7,-20,0,3,35,12,8,23,33,60,-21
7,31,-28,5,-16,-1,6,21,20,7,8,20,57,-20
30,51,-34,27,6,22,24,33,34,35,18,11,45,6
36,53,-49,41,20,35,18,31,31,47,32,1,22,16
20,48,-47,28,18,24,14,20,30,35,25,-7,28,10
7,33,-33,15,7,3,17,20,31,17,10,-1,46,-6
3,31,-32,13,0,-6,13,22,18,11,14,19,50,-27
3,31,-32,13,0,-6,13,22,18,11,14,19,50,-27
12,36,-34,12,4,1,21,31,21,16,30,23,56,-20
21,39,-24,17,1,7,31,29,33,16,33,4,53,0
6,35,-22,13,-3,1,27,7,19,11,17,-5,48,-7
0,23,-23,13,2,5,27,9,12,9,14,7,57,-14
19,35,-21,24,3,14,28,33,27,15,28,14,67,-2
31,41,-21,27,1,10,21,27,33,16,28,6,62,1
31,41,-21,27,1,10,21,27,33,16,28,6,62,1
17,32,-22,23,7,12,26,4,31,17,18,-1,50,0
0,29,-23,19,-6,21,23,0,20,11,17,-3,53,-9
-4,7,-24,8,-27,6,13,8,5,-11,10,-9,50,-25
-1,3,-31,-6,-15,-9,27,-3,11,-13,-16,-38,31,-24
0,11,-38,-11,2,-7,26,-31,20,-9,-32,-63,17,-20
-2,0,-31,-13,-7,-3,4,-25,18,-10,-18,-46,26,-18
10,11,-24,3,-6,9,6,7,27,5,15,-22,40,-9
10,11,-24,3,-6,9,6,7,27,5,15,-22,40,-9
28,28,-25,27,6,31,21,6,35,24,33,-24,35,4
30,40,-23,31,3,34,16,2,27,35,29,-22,31,14
31,48,-7,33,2,30,10,20,33,40,35,4,40,23
35,32,4,28,-1,35,12,17,37,35,35,4,32,16
15,13,-3,1,-26,19,8,-9,11,10,1,-30,-7,-10
-5,0,-2,-15,-40,-6,16,-12,-12,-5,-17,-39,-26,-16
11,12,14,6,-35,4,28,11,-2,17,10,-13,-4,-8
11,12,14,6,-35,4,28,11,-2,17,10,-13,-4,-8
31,24,30,26,-35,30,31,26,16,34,31,2,8,3
34,12,35,33,-29,47,29,34,27,31,35,-3,-3,17
43,15,26,46,-6,61,39,43,40,39,54,-1,-1,29
46,11,34,50,4,63,60,41,46,42,62,3,6,34
32,-5,50,33,6,48,61,29,50,34,48,-2,-3,31
25,-10,40,25,16,51,61,25,61,40,47,-8,-13,33
28,-20,40,35,20,61,75,29,67,37,60,-5,-10,33
28,-20,40,35,20,61,75,29,67,37,60,-5,-10,33
29,-15,55,36,19,58,75,42,64,31,62,14,0,30
35,-9,49,34,22,60,61,53,67,43,58,23,2,33
39,-9,43,33,19,57,59,43,68,48,57,11,-2,35
38,-5,50,30,6,53,56,27,58,35,51,-2,-1,34
29,-21,42,28,0,58,41,33,55,28,43,0,-2,35
6,-34,37,14,-1,43,33,33,45,21,33,3,-4,23
-12,-50,43,-2,-5,20,35,11,32,7,25,-12,-3,0
-4,-54,35,7,-5,33,43,3,40,14,33,-31,-11,2
13,-23,40,31,12,61,54,28,58,42,54,-22,-9,24
13,-23,40,31,12,61,54,28,58,42,54,-22,-9,24
17,-12,62,42,31,68,61,44,63,51,67,6,-4,34
12,-24,56,35,25,63,57,27,58,40,60,-7,-18,29
15,-33,44,31,19,61,52,22,61,34,51,-35,-23,32
36,-23,58,37,24,60,58,31,70,39,47,-26,-3,41
34,-9,66,31,13,55,58,10,62,39,31,-23,7,38
10,-30,60,22,-3,50,43,-5,39,22,26,-37,-5,31
8,-42,58,25,-4,53,27,17,27,13,39,-27,-5,26
8,-42,58,25,-4,53,27,17,27,13,39,-27,-5,26
20,-30,60,26,-3,49,27,35,31,21,39,-4,11,28
23,-23,62,26,-3,47,37,30,35,30,31,4,19,31
20,-10,69,30,-14,54,51,27,23,33,34,0,22,26
26,-16,72,26,-33,47,60,21,9,18,40,-4,27,20
27,-26,63,14,-31,31,52,5,14,7,32,-9,30,24
23,-25,56,6,-10,29,44,-4,30,4,21,-24,28,33
25,-21,64,12,9,34,67,-4,49,4,21,-30,23,45
25,-21,64,12,9,34,67,-4,49,4,21,-30,23,45
28,-6,63,22,24,33,83,-5,57,20,28,-22,19,57
30,-4,40,22,31,33,72,-2,54,28,32,-22,17,59
26,-8,37,17,24,36,68,0,53,15,25,-26,20,55
25,-11,53,25,20,46,73,-3,59,13,27,-12,26,58
32,-10,57,42,30,66,67,16,66,34,42,6,30,64
35,10,41,37,24,61,58,31,59,44,42,4,30,66
35,10,41,37,24,61,58,31,59,44,42,4,30,66
31,-1,31,23,9,36,56,13,43,23,24,-8,25,63
26,-19,40,24,14,40,57,6,37,9,19,-17,26,58
27,-4,46,31,32,53,71,27,53,21,32,-10,32,61
36,3,43,31,35,42,78,36,67,31,38,7,37,67
29,0,43,24,26,34,63,27,48,23,29,4,37,64
11,-13,47,26,29,49,61,26,33,11,27,-3,36,59
14,-18,38,33,33,59,60,28,40,11,34,1,32,60
14,-18,38,33,33,59,60,28,40,11,34,1,32,60
24,-8,20,36,30,57,40,27,42,20,35,4,31,62
21,-4,7,32,33,58,29,24,33,24,34,0,24,62
19,0,-7,25,30,55,28,14,32,20,34,-9,10,57
26,-11,-5,24,36,53,26,12,48,17,31,-10,12,62
29,-16,15,30,51,59,42,25,61,24,37,7,26,84
30,1,20,33,49,56,55,28,62,29,46,24,37,92
39,2,20,34,37,53,53,19,68,23,44,32,49,88
39,2,20,34,37,53,53,19,68,23,44,32,49,88
35,2,24,32,22,49,46,8,64,21,35,25,49,77
27,3,17,26,2,42,33,6,42,25,28,5,33,67
28,0,2,25,-8,35,32,15,26,21,29,-2,29,62
23,0,-2,18,-18,34,37,15,25,5,21,6,38,53
13,-17,-1,2,-29,31,40,-4,30,-2,2,-7,24,45
20,-7,-3,11,-9,27,42,-17,49,19,-8,-25,7,59
38,14,-11,36,23,37,46,-3,68,37,0,-19,18,77
38,14,-11,36,23,37,46,-3,68,37,0,-19,18,77
34,3,-20,35,23,40,48,4,63,22,12,-9,33,69
24,5,-10,22,7,29,48,-3,53,11,18,-6,31,53
34,15,5,33,9,37,47,5,58,18,27,4,25,61
41,18,-3,38,12,50,40,12,62,20,28,6,29,78
33,12,-19,23,8,41,37,1,53,13,14,-4,30,75
29,-4,-21,24,11,34,40,-10,48,6,0,-5,28,61
33,-8,-9,29,14,37,47,-4,51,5,-1,4,30,59
33,-8,-9,29,14,37,47,-4,51,5,-1,4,30,59
31,-18,2,15,11,36,61,1,48,-2,2,4,31,62
22,-23,-6,5,5,29,56,-6,40,-15,-6,-5,28,55
13,-18,-11,17,7,31,39,-9,48,-18,-9,-5,30,46
13,-18,-11,17,7,31,39,-9,48,-18,-9,-5,30,46
44,26,-18,27,6,30,51,-8,84,4,-8,11,29,62
40,31,-2,36,7,52,49,10,89,19,7,36,51,66
44,27,5,35,23,58,58,9,91,23,5,34,54,69
45,23,-11,22,17,33,44,-5,83,7,-9,7,42,61
30,4,-26,5,-3,26,27,-5,65,-10,-16,2,37,50
19,4,-27,18,-4,46,33,1,60,-10,-11,13,38,48
25,9,-27,33,8,51,32,0,68,1,2,9,34,44
25,9,-27,33,8,51,32,0,68,1,2,9,34,44
27,5,-31,12,-1,28,17,-1,61,-9,-1,0,21,35
18,2,-37,-16,-10,-3,17,-9,54,-34,-26,-3,6,25
36,14,-35,-6,3,-2,18,-12,78,-16,-35,13,17,44
36,14,-35,-6,3,-2,18,-12,78,-16,-35,13,17,44
39,21,-31,1,3,18,29,1,73,-6,-25,28,19,44
36,18,-19,9,-4,32,28,4,62,-2,-5,32,35,46
32,11,-16,16,-6,31,26,3,59,-3,-2,24,38,42
32,11,-16,16,-6,31,26,3,59,-3,-2,24,38,42
34,11,-22,20,-6,31,28,-4,59,-7,-17,12,32,34
33,23,-14,22,-4,44,25,-7,65,0,-15,19,49,37
35,26,16,32,-4,59,42,19,71,11,7,47,69,51
35,26,16,32,-4,59,42,19,71,11,7,47,69,51
40,34,30,38,-8,55,59,40,64,9,13,66,71,50
32,29,13,24,-10,36,42,28,56,-5,2,54,64,43
20,8,-1,14,0,26,30,10,60,-13,-2,37,60,34
24,17,-2,21,18,31,54,2,81,-13,-2,30,49,26
45,28,7,24,39,38,72,0,101,-10,-1,28,36,43
58,33,-1,18,49,35,59,1,96,-4,-7,27,31,61
58,33,-1,18,49,35,59,1,96,-4,-7,27,31,61
58,40,-25,15,38,26,51,0,88,-2,-13,25,31,55
61,50,-27,31,34,33,59,1,98,4,4,29,30,57
69,68,-1,54,39,52,63,16,99,24,28,43,31,75
65,64,5,55,36,62,58,30,89,31,38,62,44,74
59,60,-8,48,28,59,53,33,88,29,36,76,59,63
70,70,-1,51,31,58,56,34,88,34,35,78,64,73
70,70,-1,51,31,58,56,34,88,34,35,78,64,73
72,58,11,49,39,55,63,30,86,29,36,71,62,71
54,44,1,22,35,38,64,11,85,7,20,60,59,54
47,31,-2,6,41,27,62,-3,87,-9,5,51,57,54
58,31,10,17,67,35,74,9,100,1,13,48,59,62
64,43,6,31,80,37,88,22,113,19,29,51,56,64
64,43,6,31,80,37,88,22,113,19,29,51,56,64
62,47,3,35,70,36,92,24,107,22,33,59,49,68
65,62,15,32,60,48,83,26,89,26,34,59,57,67
62,57,11,31,49,46,77,26,76,25,33,60,61,63
64,45,6,34,33,33,81,23,68,11,30,65,54,56
72,61,24,44,28,43,73,24,62,16,39,64,60,53
75,65,38,57,33,62,63,32,59,26,47,67,62,59
71,57,39,56,31,59,76,32,62,15,36,67,43,53
62,39,51,43,21,54,94,18,60,8,21,52,32,35
62,39,51,43,21,54,94,18,60,8,21,52,32,35
46,14,60,36,7,58,91,13,44,12,21,47,26,26
25,10,47,32,1,49,80,22,26,7,27,53,7,23
28,11,35,30,3,40,81,26,27,2,30,52,-6,23
39,16,43,35,11,50,85,28,35,12,36,56,-3,30
40,12,57,38,31,60,91,27,35,21,36,53,1,32
47,2,59,36,48,54,92,21,37,22,28,43,-1,32
47,2,59,36,48,54,92,21,37,22,28,43,-1,32
57,8,53,32,48,48,90,19,46,18,26,52,-1,37
65,8,58,31,51,50,93,24,58,17,28,60,-2,42
74,13,66,42,65,58,96,29,63,35,28,57,0,52
69,12,57,50,72,63,88,27,51,39,34,62,4,57
46,-12,47,29,60,42,74,8,38,8,22,54,-9,37
41,-20,39,6,42,18,73,-13,31,-4,-5,25,-30,21
41,-20,39,6,42,18,73,-13,31,-4,-5,25,-30,21
58,-12,39,21,47,25,85,-7,38,9,5,25,-22,31
59,-2,50,37,60,48,91,6,50,12,31,48,-1,38
50,-7,66,33,61,55,90,7,54,8,32,60,1,35
50,-17,69,31,61,47,89,3,57,6,29,63,-3,37
51,-8,59,24,65,30,86,0,54,5,26,59,-2,34
51,-8,59,24,65,30,86,0,54,5,26,59,-2,34
55,-13,58,23,66,31,86,4,43,9,22,54,-8,31
62,-8,64,38,62,46,84,22,34,18,33,62,-3,34
48,-4,57,27,61,39,71,26,32,5,35,68,5,29
36,-25,48,9,64,24,65,6,31,-11,16,59,-15,24
51,-15,51,18,60,21,73,-9,35,7,7,51,-34,38
66,9,58,32,59,35,84,2,53,29,19,53,-26,60
71,16,60,42,75,53,92,10,64,33,31,58,-11,62
71,16,60,42,75,53,92,10,64,33,31,58,-11,62
81,21,70,59,90,65,95,2,64,40,30,57,-5,62
93,32,84,67,93,68,93,8,69,51,37,64,-3,82
93,51,85,65,95,64,91,27,74,57,51,74,0,93
81,41,86,60,102,61,98,31,71,46,48,70,1,76
64,11,94,52,98,53,100,21,60,27,34,59,3,62
60,3,91,42,89,46,90,21,57,26,31,58,18,61
60,3,91,42,89,46,90,21,57,26,31,58,18,61
66,5,87,46,93,49,90,30,62,26,35,65,26,57
58,16,85,46,94,55,86,26,55,19,28,75,20,48
52,13,78,38,94,55,73,23,50,21,34,87,23,52
62,4,76,47,108,63,74,27,59,26,50,87,25,62
62,21,76,56,120,63,86,16,64,25,43,69,7,63
62,21,76,56,120,63,86,16,64,25,43,69,7,63
51,16,70,42,123,46,92,-1,64,15,31,58,-6,56
43,-1,60,26,115,38,84,-4,61,6,24,57,5,44
37,-7,56,26,98,43,66,-5,46,-2,8,54,6,33
46,4,60,34,96,52,58,-4,43,7,13,60,-2,47
56,27,59,33,109,53,60,-2,43,11,42,57,1,65
44,17,45,17,101,36,59,-13,31,-3,11,42,-7,52
44,17,45,17,101,36,59,-13,31,-3,11,42,-7,52
39,11,28,3,84,22,50,-27,29,-3,-42,38,-33,38
48,17,29,16,92,31,47,-26,31,1,-3,41,-47,40
46,6,45,34,96,39,54,-27,22,-2,43,39,-38,41
42,12,42,21,82,28,46,-28,15,5,4,33,-30,38
57,19,33,6,82,27,30,-24,27,14,-17,40,-32,47
63,16,44,24,94,39,44,-26,34,21,26,51,-27,59
51,7,53,39,94,41,72,-31,23,21,34,46,-13,55
51,7,53,39,94,41,72,-31,23,21,34,46,-13,55
48,-2,52,18,89,25,71,-32,17,3,7,29,0,33
46,-5,48,-5,86,3,54,-35,20,-14,-13,24,1,16
33,-15,48,0,86,-2,64,-40,6,-19,-26,34,-5,27
25,-10,46,4,86,10,72,-43,-2,-17,-9,25,-7,31
45,6,41,-3,92,19,62,-37,22,-12,-5,25,-2,27
70,14,40,9,98,18,77,-19,40,-9,-21,52,0,46
70,14,40,9,98,18,77,-19,40,-9,-21,52,0,46
67,37,49,36,96,26,105,-4,30,9,3,67,2,61
62,39,65,45,93,42,102,4,25,24,52,73,18,46
62,23,65,33,84,40,75,12,24,16,56,90,31,29
50,21,58,31,73,36,63,11,15,0,38,89,30,30
51,16,56,35,81,34,75,1,19,-6,36,65,17,33
51,16,56,35,81,34,75,1,19,-6,36,65,17,33
57,22,58,28,100,27,96,-3,31,-8,28,60,14,29
45,26,52,27,100,27,91,-5,34,-13,24,56,17,28
38,25,40,34,89,34,58,-10,31,-12,28,45,12,27
38,23,37,23,89,28,61,-4,19,-13,22,54,16,20
27,0,39,9,86,19,90,-4,7,-24,14,52,21,10
26,2,38,13,82,23,92,-27,12,-17,2,30,12,17
26,2,38,13,82,23,92,-27,12,-17,2,30,12,17
53,30,38,32,103,50,81,-34,35,30,3,24,9,55
76,53,49,63,137,103,84,-14,55,103,19,39,14,107
89,74,51,95,158,155,91,-4,67,178,28,47,15,155
109,90,42,122,183,198,90,-6,84,253,30,42,15,212
122,115,37,146,198,243,88,-2,94,321,36,36,11,256
122,125,39,157,192,270,91,-14,93,353,38,32,0,269
122,125,39,157,192,270,91,-14,93,353,38,32,0,269
117,122,36,161,206,278,91,-30,95,364,32,25,-11,279
113,131,29,167,227,283,87,-28,107,387,30,17,-14,292
122,134,32,183,231,301,89,-28,123,414,35,28,-20,304
138,145,27,182,239,300,90,-36,127,413,29,27,-26,312
148,149,20,159,265,280,86,-34,127,401,19,2,-24,319
155,147,32,168,279,287,91,-33,137,408,22,7,-4,327
155,147,32,168,279,287,91,-33,137,408,22,7,-4,327
146,159,47,184,251,297,92,-37,123,410,15,34,9,314
127,157,44,170,232,282,82,-27,100,392,4,37,-3,292
138,164,29,166,252,278,77,-20,110,387,25,28,-6,293
160,173,30,184,260,288,85,-22,125,382,44,35,7,302
144,150,54,168,222,259,88,-26,100,330,20,39,7,266
144,150,54,168,222,259,88,-26,100,330,20,39,7,266
106,120,53,111,187,205,69,-39,61,264,-12,19,-1,208
93,100,36,94,190,187,63,-32,57,238,-2,20,13,189
100,97,47,102,197,181,86,-12,76,226,19,50,31,187
85,76,52,68,189,143,100,-29,70,174,-3,40,12,152
42,26,40,21,162,86,91,-50,37,97,-34,4,-4,100
42,26,40,21,162,86,91,-50,37,97,-34,4,-4,100
17,3,45,12,145,58,88,-29,23,60,-26,27,19,71
25,2,67,15,154,53,97,-17,34,49,-12,71,37,64
30,14,70,0,149,38,98,-33,36,37,-25,61,34,62
32,28,54,-6,124,22,89,-36,25,21,-37,30,25,54
34,14,47,0,119,23,83,-27,18,0,-23,27,8,37
34,14,47,0,119,23,83,-27,18,0,-23,27,8,37
26,9,55,-2,116,23,90,-28,13,-14,-8,31,0,27
25,15,64,2,99,15,91,-30,11,-19,-5,32,2,24
34,20,56,5,99,7,83,-32,14,-30,-6,29,2,13
29,20,52,1,111,2,84,-24,15,-43,-4,29,11,3
12,5,69,0,104,0,96,-1,8,-53,6,51,33,-12
-2,2,76,-2,86,-10,101,1,-4,-61,6,71,40,-33
-2,2,76,-2,86,-10,101,1,-4,-61,6,71,40,-33
0,-1,67,-11,89,-21,99,-22,-2,-72,-8,62,25,-32
17,-8,60,-25,106,-33,95,-34,19,-93,-25,35,5,-23
14,-9,55,-39,117,-47,89,-32,18,-110,-36,20,-4,-33
4,-11,57,-31,120,-46,104,-21,7,-105,-19,34,6,-35
15,11,73,-7,113,-32,121,5,14,-87,13,74,31,-29
20,21,85,5,98,-25,112,18,13,-87,21,97,55,-34
20,21,85,5,98,-25,112,18,13,-87,21,97,55,-34
4,2,83,-1,87,-25,105,8,-2,-101,7,77,54,-43
-2,-4,85,-20,79,-36,106,-13,-15,-105,-12,51,38,-50
6,-7,91,-27,65,-48,93,-20,-24,-100,-18,49,41,-51
9,7,94,-8,70,-28,90,6,-24,-86,5,76,65,-37
13,24,108,12,91,3,109,36,-10,-75,33,110,86,-31
13,5,120,-7,90,-17,112,42,-9,-92,21,123,75,-49
